item_name,main_category,sub_category,year,transactions,investment,revenue,profit,profit_margin_percentage,roi_percenatge
Sesame Seeds 500G,Pantry Staples,Spices,65,65,204.0,271.3200000000003,67.32000000000002,24.812030075187952,33.000000000000014
Sherbet Syrup750Ml,Beverages,Fruit Juice,7,7,59.25,82.5,23.25,28.18181818181818,39.24050632911392
Siddhalepa,Miscellaneous,Balms,4,4,24.0,30.0,6.0,20.0,25.0
Silverbeet,Fresh Produce,Bunch Vegies,1022,1018,0.0,3267.0,3267.0,100.0,inf
Sinhala Pickle 375G Md,Pantry Staples,Pickle,18,18,49.5,71.82000000000002,22.319999999999993,31.077694235588954,45.09090909090908
Sinqua (Angled Luffa),Fresh Produce,Asian Vegies,453,450,1305.8010000000008,1595.9790000000014,290.1780000000002,18.18181818181818,22.222222222222225
Slim Leeks 3 For $ 1,Fresh Produce,Deals,65,65,47.400000000000034,79.0,31.599999999999994,39.99999999999999,66.6666666666666
Snake Gourd,Fresh Produce,Asian Vegies,40,40,0.0,89.97968000000003,89.97968000000003,100.0,inf
Snow Pea Tendrils,Fresh Produce,Lettuces,5,5,0.0,95.0,95.0,100.0,inf
Sona Masoori 5Kg,Pantry Staples,Rice,8,8,66.0,84.0,18.0,21.428571428571427,27.27272727272727
Soya Beans 500G,Pantry Staples,Pulses And Grains,16,16,36.8,52.63999999999999,15.840000000000002,30.091185410334354,43.04347826086957
Soya Crisps 200G,Snacks,Dry Fruits And Nuts,19,19,61.4,90.90909089999998,29.50909090000001,32.45999999324602,48.06040863192184
Soya Meat Chicken,Pantry Staples,Canned Food,145,139,228.0,453.720000000001,225.71999999999974,49.7487437185928,98.99999999999989
Soya Meet Prawn 90G,Pantry Staples,Canned Food,142,138,243.0,483.57000000000056,240.56999999999988,49.74874371859288,98.99999999999996
Spaghetti No.4,Pantry Staples,Pasta,96,89,124.66999999999979,164.40000000000006,39.72999999999993,24.166666666666618,31.868131868131865
Spaghettini 03,Pantry Staples,Pasta,11,11,0.0,10.89,10.89,100.0,inf
Special White Flour 1Kg,Pantry Staples,Flour,20,19,33.60000000000001,50.190000000000005,16.589999999999996,33.05439330543932,49.37499999999997
Spicy Dhal300G,Snacks,Packaged Snacks,1,1,2.75,3.99,1.24,31.07769423558897,45.09090909090909
Spicy Greenpeas 300G,Pantry Staples,Pulses And Grains,7,7,19.25,27.930000000000007,8.68,31.077694235588964,45.090909090909086
Spicy Peanut,Snacks,Packaged Snacks,22,22,36.0,95.75999999999999,59.76000000000002,62.40601503759401,166.00000000000006
Spinach Bunch,Fresh Produce,Bunch Vegies,1984,1982,0.0,6885.0,6885.0,100.0,inf
Spinach Bunch 2For,Fresh Produce,Deals,231,223,0.0,822.5,822.5,100.0,inf
Spinach Lettuce Mix,Fresh Produce,Lettuces,1857,1855,0.0,3139.8452799999973,3139.8452799999973,100.0,inf
Spirali No.55,Pantry Staples,Pasta,75,71,71.09999999999998,108.00000000000013,36.89999999999999,34.166666666666615,51.89873417721519
Sprats 150G Richmi,Pantry Staples,Rice,59,55,217.59999999999988,339.32000000000033,121.72000000000011,35.87174348697395,55.937500000000085
Sprats Ready To Cook,Pantry Staples,Sardines,17,17,88.40000000000002,118.82999999999997,30.42999999999999,25.608011444921313,34.4230769230769
Spring Onion 2 For,Fresh Produce,Deals,50,50,0.0,125.0,125.0,100.0,inf
Spring Water 600Ml,Beverages,Water,100,99,76.88000000000002,186.0,109.11999999999988,58.6666666666666,141.93548387096752
Sprite 375Ml Can,Beverages,Soda,20,20,14.400000000000004,40.0,25.600000000000005,64.00000000000001,177.77777777777777
Sprouts Bean Shoots,Fresh Produce,Veggies,63,63,0.0,297.51,297.51,100.0,inf
Squash Yellow,Fresh Produce,Other Vegies,4,4,0.0,2.55118,2.55118,100.0,inf
Strawberry 2 For $ 3,Fresh Produce,Deals,65,62,0.0,213.0,213.0,100.0,inf
Strawberry 3 For $5.00,Fresh Produce,Deals,1,1,2.5,5.0,2.5,50.0,100.0
Sudu Kekulu5Kg Kandyan,Pantry Staples,Rice,52,45,490.0,671.4400000000004,181.44000000000008,27.022518765638026,37.028571428571446
Sugar Plum,Fresh Produce,Stonefruits,101,101,0.0,171.117,171.117,100.0,inf
Suimin Noodles,Snacks,Noodles,13,13,0.0,25.869999999999994,25.869999999999994,100.0,inf
Sultana,Snacks,Dry Fruits And Nuts,1,1,2.0,4.0,2.0,50.0,100.0
Sulthana 500G,Pantry Staples,Grains And Pulses,67,65,245.88999999999965,334.3300000000003,88.43999999999988,26.452905811623182,35.96730245231608
Sun Dried Tomato 100G,Pantry Staples,Condiments,17,17,0.0,38.0,38.0,100.0,inf
Sundowner Apples,Fresh Produce,Apples,560,553,0.0,1615.7330000000002,1615.7330000000002,100.0,inf
Sunflower Kernels 500G,Snacks,Dry Fruits And Nuts,20,18,54.17999999999998,104.78999999999999,50.60999999999999,48.296593186372746,93.41085271317831
Sunflower Oil 2Lt,Pantry Staples,Oil,29,29,139.2,188.5,49.30000000000002,26.153846153846168,35.416666666666686
Sunflower Oil 5Lt,Pantry Staples,Oil,87,87,837.0,1162.5,325.5,28.000000000000004,38.88888888888889
Sunflower Seeds 300G,Snacks,Dry Fruits And Nuts,4,4,12.72,19.96,7.24,36.27254509018036,56.91823899371069
Suntina Mandarine,Fresh Produce,Citrus Fruits,86,86,0.0,245.47806,245.47806,100.0,inf
Super Chef 5Kg,Pantry Staples,Rice,55,55,531.0,707.4100000000004,176.40999999999997,24.93744787322767,33.222222222222214
Supiri Keeri Samba 5Kg Cic,Pantry Staples,Rice,3,3,34.5,43.5,9.0,20.689655172413794,26.08695652173913
Suwadel Rice 1Kg,Pantry Staples,Rice,12,11,42.599999999999994,56.279999999999994,13.680000000000001,24.30703624733476,32.11267605633804
Swedes Turnips,Fresh Produce,Root Vegies,315,314,391.80750000000023,559.725,167.91750000000016,30.00000000000003,42.85714285714287
Sweet Corn,Fresh Produce,Other Vegies,1224,1221,0.0,2884.7999999999956,2884.7999999999956,100.0,inf
Sweet Potatoes Purple,Fresh Produce,Potatoes,1827,1809,3629.8199999999997,4341.264720000001,711.44472,16.38795986622073,19.6
Sweet Rusk,Breads & Bakery,Toast,234,225,1310.0,1572.0,262.0,16.666666666666664,20.0
Sweet Tooth Mango,Fresh Produce,Fruits,6,6,0.0,35.0,35.0,100.0,inf
Sweetloaf,Breads & Bakery,Sweet Bread,393,383,1567.5,2006.3999999999876,438.9000000000029,21.875000000000277,28.000000000000185
Swiss Roll Vanila,Pantry Staples,Sweet,25,25,46.02000000000001,57.90909090199998,11.889090902,20.53061223516702,25.83461734463276
Swissroll Chocolate,Snacks,Packaged Snacks,77,69,145.14000000000004,200.89999999999984,55.759999999999984,27.755102040816343,38.418079096045176
Tamarind 100G,Pantry Staples,Spices,34,34,27.75,92.5,64.75,70.0,233.33333333333334
Tamarind 200G,Pantry Staples,Spices,16,16,25.5,42.5,17.0,40.0,66.66666666666666
Tamarind 200G Derana,Pantry Staples,Condiments,8,8,13.599999999999998,23.92,10.32,43.1438127090301,75.88235294117649
Tamarind 400G,Pantry Staples,Spices,8,8,26.400000000000002,39.92000000000001,13.519999999999998,33.867735470941874,51.2121212121212
Tamarind Drink,Beverages,Fruit Juice,8,8,6.6000000000000005,16.5,9.900000000000002,60.00000000000001,150.00000000000003
Tamarind Seedless 500G,Pantry Staples,Spices,12,12,72.0,89.88,17.88,19.893190921228303,24.833333333333332
Tandoori Masala,Pantry Staples,Spices,4,4,0.0,24.0,24.0,100.0,inf
Tangelos,Fresh Produce,Citrus Fruits,300,299,248.58800000000014,494.6901199999999,246.10211999999981,49.748743718592934,98.99999999999987
Taro,Fresh Produce,Potatoes,145,144,404.71999999999974,808.6305599999998,403.9105600000001,49.949949949949975,99.80000000000008
Taylor Lee,Fresh Produce,Citrus Fruits,92,89,0.0,213.33595999999994,213.33595999999994,100.0,inf
Tea Coconut Cream,Beverages,Tea,72,62,112.5,165.0,52.50000000000004,31.818181818181845,46.66666666666671
Tea Coconut Milk,Pantry Staples,Cocunut Products,87,77,135.0,197.99999999999977,63.00000000000009,31.818181818181902,46.666666666666735
Tea Dried Keerameen 250G,Beverages,Tea,16,16,93.5,118.82999999999997,25.32999999999999,21.316165951359082,27.090909090909083
Tea Dried Sprats 250G,Pantry Staples,Sardines,55,54,304.5,405.4200000000003,100.91999999999996,24.892703862660916,33.14285714285713
Tea Jack Madulu In Brine,Pantry Staples,Condiments,6,6,24.0,31.92,7.92,24.81203007518797,33.0
Tea Jack Mellum In Brine,Pantry Staples,Pickle,7,7,24.0,31.92000000000001,7.92,24.812030075187963,33.0
Tea Toor Dhal 1Kg,Pantry Staples,Grains And Pulses,77,77,139.62000000000015,233.22000000000025,93.60000000000012,40.133779264214056,67.03910614525141
Thai Eggplant,Fresh Produce,Asian Vegies,345,345,620.6669999999999,688.2507400000005,67.58374000000002,9.81963927855711,10.888888888888895
Thai Green Chilli,Fresh Produce,Chillies,1013,1012,0.0,1255.4250000000002,1255.4250000000002,100.0,inf
Thala Aluwa 400G,Snacks,Biscuits,32,32,143.49999999999991,209.6500000000001,66.15,31.552587646076784,46.09756097560979
Thalaguli 250G Serendib,Snacks,Biscuits,8,8,22.0,29.199999999999996,7.200000000000001,24.65753424657535,32.727272727272734
Thalapath 150G Richmi,Pantry Staples,Dried Fish,17,17,95.19999999999997,127.5,32.29999999999999,25.333333333333325,33.92857142857142
Thalapath Dried Araliya,Fresh Produce,Asian Vegies,1,1,5.35,6.99,1.64,23.4620886981402,30.654205607476637
Thora Dried Derana,Pantry Staples,Dried Fish,11,10,0.0,70.39999999999999,70.39999999999999,100.0,inf
Thyme Garden,Fresh Produce,Herbs,20,20,0.0,70.0,70.0,100.0,inf
Thyme Honey,Pantry Staples,Condiments,3,3,55.0,69.95,14.950000000000001,21.37240886347391,27.181818181818183
Tiger Brand Basmathi5Kg,Pantry Staples,Rice,11,11,93.5,121.0,27.5,22.727272727272727,29.411764705882355
Toast,Breads & Bakery,Toast,21,21,25.199999999999992,62.79000000000003,37.58999999999999,59.866220735785916,149.16666666666666
Tomato & Basil Sauce,Pantry Staples,Sauce,13,12,0.0,38.87000000000001,38.87000000000001,100.0,inf
Tomato Field,Fresh Produce,Tomatoes,41,41,45.321,60.428,15.107,25.0,33.33333333333333
Tomato Mini Roma 250G,Fresh Produce,Tomatoes,740,737,2032.5,2430.869999999984,398.37000000000387,16.387959866221003,19.60000000000019
Tomato Sweet Cherry Vine,Fresh Produce,Tomatoes,2,2,0.0,7.5,7.5,100.0,inf
"Tomato,Onion & Garlic ",Fresh Produce,Cut Veggies,28,27,0.0,89.69999999999997,89.69999999999997,100.0,inf
Tomatoes Cherry,Fresh Produce,Tomatoes,1283,1281,0.0,4272.0,4272.0,100.0,inf
Tomatoes Grape,Fresh Produce,Tomatoes,144,144,0.0,487.37000000000074,487.37000000000074,100.0,inf
Tomatoes Hydroponic,Fresh Produce,Tomatoes,42,42,0.0,116.51747999999999,116.51747999999999,100.0,inf
Tomatoes Roma,Fresh Produce,Tomatoes,3038,3025,0.0,8501.692539999995,8501.692539999995,100.0,inf
Tomatoes Truss,Fresh Produce,Tomatoes,2856,2851,0.0,10286.686899999988,10286.686899999988,100.0,inf
Toor Dhall 5Kg,Pantry Staples,Grains And Pulses,12,12,141.0,144.0,3.0,2.083333333333333,2.127659574468085
Tpp Mango,Fresh Produce,Tropical Fruits,22,22,0.0,115.5,115.5,100.0,inf
Trahana Sweet 500G,Pantry Staples,Pasta,28,27,92.39999999999996,131.67,39.27000000000001,29.82456140350878,42.50000000000003
Trahanas Sour 500G,Pantry Staples,Pasta,58,58,162.40000000000006,231.4200000000002,69.01999999999994,29.82456140350872,42.49999999999995
Trivelle No.17,Pantry Staples,Pasta,115,113,99.54000000000012,151.20000000000005,51.6599999999999,34.166666666666586,51.89873417721502
Tropicana,Beverages,Fruit Juice,7,7,37.73,44.481818185,6.751818184999999,15.178826901632414,17.89509192949907
Tsoureki Large,Breads & Bakery,Packaged,18,15,247.5,329.66999999999996,82.17000000000002,24.924924924924934,33.20000000000001
Tsoureki Small 450G,Breads & Bakery,Packaged,29,26,270.0,359.5500000000002,89.55000000000001,24.90613266583228,33.16666666666667
Turkish White Coarse Burgul 500G,Pantry Staples,Pulses And Grains,51,51,73.20000000000006,121.3899999999999,48.189999999999976,39.69849246231157,65.83333333333324
Turkish White Fine Burgul 500G,Pantry Staples,Pulses And Grains,51,47,67.20000000000006,111.4399999999999,44.239999999999974,39.69849246231157,65.83333333333323
Turmeric,Fresh Produce,Root Vegies,62,62,103.04999999999997,57.25,-45.79999999999999,-79.99999999999999,-44.44444444444445
Turmeric Powder 100G,Pantry Staples,Spices,78,78,143.99999999999997,200.0,56.00000000000008,28.000000000000043,38.88888888888895
Turmeric Powder100G,Pantry Staples,Spices,28,25,0.0,52.199999999999974,52.199999999999974,100.0,inf
Turnips,Fresh Produce,Root Vegies,442,442,0.0,489.96531999999956,489.96531999999956,100.0,inf
Tuscan Kale,Fresh Produce,Bunch Vegies,242,242,642.5,768.4300000000019,125.92999999999954,16.387959866220637,19.59999999999993
U/R Chilli Powder Rabee,Pantry Staples,Spices,16,16,44.0,56.0,12.0,21.428571428571427,27.27272727272727
Urid Flour 200 Wijaya,Pantry Staples,Flour,6,6,13.3,20.93,7.630000000000001,36.45484949832776,57.36842105263158
Urid Whole White 1Kg,Pantry Staples,Grains And Pulses,17,17,81.4,99.79999999999998,18.400000000000006,18.436873747495,22.60442260442261
V/ R Coconut Sambol 300G,Pantry Staples,Sauces,28,28,103.60000000000005,154.0,50.39999999999998,32.72727272727271,48.6486486486486
Vanila Powder 15G,Pantry Staples,Sugar,110,95,103.99999999999983,258.7000000000003,154.6999999999998,59.79899497487423,148.75000000000006
Vanila Twists 250G,Pantry Staples,Sugar,147,127,574.2000000000008,789.3272726640001,215.1272726639994,27.254509012204693,37.46556472727257
Vasilopita 650G,Breads & Bakery,Cake,14,14,180.0,234.0,54.0,23.076923076923077,30.0
Vegetable Oil 2Lt,Pantry Staples,Oil,23,23,103.5,149.5,46.0,30.76923076923077,44.44444444444444
Vegetable Oil 5Lt,Pantry Staples,Oil,5,5,42.5,60.0,17.5,29.166666666666668,41.17647058823529
Vindaloo Masala 50G,Pantry Staples,Spices,8,8,0.0,20.0,20.0,100.0,inf
Vinegar 350Ml,Pantry Staples,Vinegar,9,9,25.650000000000006,17.91,-7.740000000000001,-43.21608040201006,-30.175438596491226
Virgin Coconut Oil 300Ml,Pantry Staples,Oil,4,4,15.8,22.0,6.2,28.18181818181818,39.24050632911392
Virgin Coconut Oil Organic Frank,Pantry Staples,Oil,108,107,461.0399999999997,563.8700000000007,102.82999999999976,18.23647294589172,22.303921568627413
Virgin Olive Oil 1Lt,Pantry Staples,Oil,9,8,99.0,116.90999999999998,17.91,15.319476520400311,18.09090909090909
Virgin Olive Oil 4Lt,Pantry Staples,Oil,76,68,3243.0,3759.0599999999945,516.0600000000004,13.72843210802704,15.913043478260883
Virgin Olive Oil 500G,Pantry Staples,Oil,2,2,10.0,12.98,2.98,22.95839753466872,29.799999999999997
Virgin Olive Oil 500Ml,Pantry Staples,Oil,8,8,56.63999999999999,71.92,15.28,21.245828698553947,26.977401129943505
Vss Virgin Coconut Oil 500G,Pantry Staples,Oil,17,17,115.20000000000005,134.81999999999996,19.62,14.55273698264353,17.031249999999996
Walnut Kernels Lhp 500G,Snacks,Dry Fruits And Nuts,113,112,718.1999999999991,1138.8600000000008,420.6599999999998,36.936936936936895,58.57142857142862
Walnuts In Shell,Snacks,Dry Fruits And Nuts,600,597,2731.380000000001,3274.9246200000002,543.5446200000002,16.59716430358633,19.900000000000002
Walnuts Natural 350G,Snacks,Dry Fruits And Nuts,55,55,370.5,440.45454543900047,69.95454543899996,15.882352938207585,18.881118876923065
Wash Potatoes 5Kg,Fresh Produce,Potatoes,1099,1099,0.0,6888.0,6888.0,100.0,inf
Washed Potatoes 2.5Kg,Fresh Produce,Potatoes,23,23,57.5,115.0,57.5,50.0,100.0
Watercress,Fresh Produce,Bunch Vegies,16,16,0.0,50.83000000000002,50.83000000000002,100.0,inf
Watermelon Seeded,Fresh Produce,Melons,2,2,0.0,3.618181818,3.618181818,100.0,inf
Watermelon Seedless,Fresh Produce,Melons,8158,7901,20791.035999999964,30978.64364000002,10187.607639999975,32.88590604026835,48.999999999999964
Welpenela Porridge 50G,Pantry Staples,Dry,8,7,8.799999999999999,12.799999999999999,4.0,31.25,45.45454545454546
White Basmathi 1Kg Cic,Pantry Staples,Rice,7,7,22.4,30.73,8.329999999999998,27.10706150341685,37.18749999999999
White Raw Rice 1Kg Cic,Pantry Staples,Rice,11,11,25.850000000000005,39.49000000000001,13.64,34.540389972144844,52.7659574468085
White Raw Rice 5Kg Derana,Pantry Staples,Rice,16,16,159.2,207.84000000000003,48.63999999999999,23.402617397998455,30.552763819095475
White Sugar 1Kg,Pantry Staples,Baking,15,15,24.000000000000004,34.349999999999994,10.349999999999996,30.13100436681222,43.12499999999998
White Vinegar 500Ml,Pantry Staples,Vinegar,10,10,30.0,39.90000000000001,9.9,24.812030075187963,33.0
Whole Chilli 100G,Pantry Staples,Spices,112,110,166.60000000000034,297.5,130.8999999999997,43.99999999999989,78.57142857142823
Whole Chilli500G,Pantry Staples,Spices,9,9,47.25,71.91000000000001,24.660000000000004,34.292866082603254,52.1904761904762
Wholemeal Flour 1Kg,Pantry Staples,Flour,28,28,54.40000000000003,91.45999999999997,37.06000000000001,40.5204460966543,68.12499999999999
Wholemeal Rusk 230G,Breads & Bakery,Toast,213,198,446.0,666.7700000000016,220.7700000000005,33.11036789297658,49.500000000000114
Whte Rice Flour1Kg,Pantry Staples,Flour,12,12,0.0,38.870000000000005,38.870000000000005,100.0,inf
Wijaya Chilli Pieces 250G,Pantry Staples,Spices,111,111,244.1999999999995,388.5,144.29999999999995,37.14285714285713,59.09090909090919
Wijaya Chilli Pieces 500G,Pantry Staples,Spices,62,60,260.3999999999997,403.0,142.59999999999997,35.38461538461537,54.76190476190481
Wijaya Chilli Powder 500G,Pantry Staples,Spices,57,56,239.39999999999975,370.5,131.0999999999999,35.38461538461536,54.76190476190478
Wijaya Chilli Powder250G,Pantry Staples,Spices,136,135,299.19999999999925,476.0,176.80000000000024,37.142857142857196,59.090909090909314
Wijaya Chinese Noodles,Snacks,Noodles,8,8,0.0,26.910000000000004,26.910000000000004,100.0,inf
Wijaya Curry Powder 250G,Pantry Staples,Spices,65,65,168.9999999999998,227.5,58.499999999999936,25.714285714285683,34.61538461538462
Wijaya Curry Powder 500G,Pantry Staples,Spices,31,31,139.5,201.5,62.0,30.76923076923077,44.44444444444444
Wijaya Fish Curry Powder 70G,Fresh Produce,Pumpkins,19,18,22.000000000000004,39.8,17.800000000000004,44.72361809045228,80.90909090909092
Wijaya Kurakkan Flour 400G,Pantry Staples,Flour,18,18,36.09999999999999,56.810000000000024,20.71,36.45484949832775,57.368421052631604
Wijaya Meat Curry Powder Mixture,Pantry Staples,Spices,53,53,214.50000000000017,329.4500000000002,114.95000000000012,34.89148580968281,53.5897435897436
Wijaya Pppadam,Pantry Staples,Papad,58,56,106.1999999999999,147.5,41.30000000000002,28.000000000000014,38.88888888888894
Wijaya Roasted Curry Powder 250G,Pantry Staples,Spices,65,63,182.00000000000014,259.35000000000025,77.34999999999992,29.824561403508714,42.49999999999993
Wijaya Special Noodles,Snacks,Noodles,64,63,117.30000000000011,206.31000000000014,89.01000000000008,43.14381270903011,75.88235294117646
Wijaya Tumaric Powder 250G,Pantry Staples,Spices,76,76,205.19999999999976,266.0,60.79999999999991,22.857142857142822,29.629629629629623
Winter Melon,Fresh Produce,Asian Vegies,5,5,0.0,17.288180000000004,17.288180000000004,100.0,inf
Wombok Half,Fresh Produce,Cut Veggies,579,577,1172.0,1465.0,293.0,20.0,25.0
Ya Pears,Fresh Produce,Pears,12,12,0.0,40.69800000000001,40.69800000000001,100.0,inf
Yahaposha 200G,Snacks,Packaged Snacks,22,22,41.0,81.58999999999999,40.59,49.748743718592976,99.00000000000001
Yam,Fresh Produce,Potatoes,11,11,0.0,103.56,103.56,100.0,inf
Yellow Mustard Seeds 100G,Pantry Staples,Spices,3,3,0.0,8.97,8.97,100.0,inf
Yellow Split Peas 500G,Pantry Staples,Grains And Pulses,58,55,84.00000000000003,119.3999999999999,35.40000000000001,29.648241206030185,42.142857142857146
Zafarelli,Fresh Produce,Bunch Vegies,9,9,12.0,18.0,6.0,33.33333333333333,50.0
Zucchini Green,Fresh Produce,Other Vegies,4603,4590,0.0,8423.565500000002,8423.565500000002,100.0,inf
Zucchini Lebanese,Fresh Produce,Other Vegies,3,3,0.0,5.96092,5.96092,100.0,inf
