item_name,main_category,sub_category,year,transactions,investment,revenue,profit,profit_margin_percentage,roi_percenatge
Persimmons,Fresh Produce,Other Fruits,127,127,0.0,302.05260000000004,302.05260000000004,100.0,inf
Persimons **,Fresh Produce,Other Fruits,717,706,0.0,2783.721399999998,2783.721399999998,100.0,inf
Piel De Sapo Melon,Fresh Produce,Melons,417,416,1425.0,1420.2500000000036,-4.749999999999949,-0.3344481605351126,-0.3333333333333298
Pineapple,Fresh Produce,Tropical Fruits,1180,1173,0.0,5949.0,5949.0,100.0,inf
Pineapple Diced 500G,Snacks,Dry Fruits And Nuts,43,40,193.05,269.5500000000001,76.50000000000006,28.380634390651093,39.62703962703966
Pineapple Jam Kist300G,Pantry Staples,Condiments,19,19,40.0,55.99999999999998,16.000000000000007,28.571428571428598,40.00000000000002
Pineapple Sweet Large,Fresh Produce,Tropical Fruits,300,298,700.0,1750.0,1050.0,60.0,150.0
Pink Lady Kids Pack 1Kg,Fresh Produce,Apples,612,610,2257.5,2573.549999999978,316.0500000000025,12.280701754386168,14.000000000000112
Pinklady Apple Juice,Beverages,Fruit Juice,53,53,315.0,440.37000000000023,125.3699999999999,28.469241773962768,39.79999999999997
Pistachios 500G,Snacks,Dry Fruits And Nuts,60,60,450.0,653.9999999999993,204.0000000000002,31.19266055045878,45.33333333333338
Pistachios Salted 350G,Snacks,Dry Fruits And Nuts,72,71,722.6999999999991,730.0,7.299999999999991,0.9999999999999988,1.01010101010101
Pitted Dates 500G,Snacks,Dry Fruits And Nuts,68,66,273.0000000000001,349.3000000000003,76.30000000000013,21.843687374749514,27.948717948717984
Pitted Green Olive 1Kg,Fresh Produce,Asian Vegies,4,4,32.0,51.96,19.96,38.414164742109314,62.375
Pitted Prunes 500G,Snacks,Dry Fruits And Nuts,61,60,219.59999999999977,365.3900000000003,145.7899999999999,39.89983305509176,66.38888888888891
Plain Flour 2Kg,Fresh Produce,Asian Vegies,72,72,231.0,346.5,115.5,33.33333333333333,50.0
Plain Flour 5Kg,Pantry Staples,Flour,128,128,982.5,1308.690000000001,326.1900000000006,24.924924924924955,33.20000000000006
Plums Angelino,Fresh Produce,Stonefruits,793,788,881.6840000000008,1763.3680000000015,881.6840000000008,50.0,100.0
Plums Flavour,Fresh Produce,Stonefruits,280,278,0.0,765.1543199999999,765.1543199999999,100.0,inf
Plums October Sun,Fresh Produce,Stonefruits,21,20,0.0,58.36599999999999,58.36599999999999,100.0,inf
Plums Red,Fresh Produce,Stonefruits,495,490,0.0,764.1239999999997,764.1239999999997,100.0,inf
Pol Sambol,Snacks,Dry Fruits And Nuts,51,46,202.5,269.46000000000015,66.96000000000001,24.849699398797583,33.06666666666667
Polenta Fine 500G,Pantry Staples,Grains And Pulses,83,80,161.59999999999974,271.6899999999999,110.09000000000019,40.52044609665436,68.12500000000023
Polos Ambula 350G,Pantry Staples,Sauces,52,51,192.39999999999986,259.4800000000002,67.07999999999998,25.851703406813602,34.86486486486488
Polos Ambula 675G,Pantry Staples,Sauces,28,28,173.59999999999997,238.0,64.39999999999996,27.05882352941175,37.09677419354837
Polos In Brine,Pantry Staples,Sauces,21,21,81.25,112.5,31.25,27.77777777777778,38.46153846153847
Polos Mellum In Brine 560G,Pantry Staples,Sauces,2,2,6.0,7.98,1.98,24.81203007518797,33.0
